mfcc_0,mfcc_delta1_0,mfcc_delta2_0,mfcc_1,mfcc_delta1_1,mfcc_delta2_1,mfcc_2,mfcc_delta1_2,mfcc_delta2_2,mfcc_3,mfcc_delta1_3,mfcc_delta2_3,mfcc_4,mfcc_delta1_4,mfcc_delta2_4,mfcc_5,mfcc_delta1_5,mfcc_delta2_5,mfcc_6,mfcc_delta1_6,mfcc_delta2_6,mfcc_7,mfcc_delta1_7,mfcc_delta2_7,mfcc_8,mfcc_delta1_8,mfcc_delta2_8,mfcc_9,mfcc_delta1_9,mfcc_delta2_9,mfcc_10,mfcc_delta1_10,mfcc_delta2_10,mfcc_11,mfcc_delta1_11,mfcc_delta2_11,mfcc_12,mfcc_delta1_12,mfcc_delta2_12,mfcc_13,mfcc_delta1_13,mfcc_delta2_13,mfcc_14,mfcc_delta1_14,mfcc_delta2_14,mfcc_15,mfcc_delta1_15,mfcc_delta2_15,mfcc_16,mfcc_delta1_16,mfcc_delta2_16,mfcc_17,mfcc_delta1_17,mfcc_delta2_17,mfcc_18,mfcc_delta1_18,mfcc_delta2_18,mfcc_19,mfcc_delta1_19,mfcc_delta2_19,zero_crossing_rate,rms,spectral_centroid,spectral_rolloff,spectral_bandwidth,f0,voiced_flag,voiced_probs
-524.2568,11.562958,-24.599735,66.63988,-3.8413427,7.2725873,28.626736,3.3838842,-2.854464,37.12828,0.16240285,-0.3964369,15.022617,-1.7994263,1.918462,-0.45486414,3.2743948,-2.4440236,-17.451134,3.0729282,2.6463754,-18.502123,3.0980089,-1.0257696,5.5736246,-2.0290241,0.5908167,3.0295758,1.0544299,-0.25677526,-0.5319716,-1.8773841,1.0513109,-7.224924,-0.03913424,-0.65034306,-7.1554933,-0.36682916,0.03935928,9.856538,-2.755064,-0.50676733,-13.500813,1.0477637,-0.20932119,-16.94091,0.8436422,-0.9693572,11.695724,-3.638007,-0.21109593,-1.5405424,1.0377631,0.33538625,-3.9195254,-0.35380793,1.1594397,4.7187834,0.3511113,0.30185378,0.0234375,0.01791948,1420.9189711627755,3460.9375,1425.8425667935937,,False,0.0
-271.46753,11.562958,-24.599735,120.045135,-3.8413427,7.2725873,-19.026878,3.3838842,-2.854464,76.598816,0.16240285,-0.3964369,0.32319927,-1.7994263,1.918462,1.9534117,3.2743948,-2.4440236,-25.345013,3.0729282,2.6463754,-34.52086,3.0980089,-1.0257696,7.776533,-2.0290241,0.5908167,-3.467567,1.0544299,-0.25677526,-10.756385,-1.8773841,1.0513109,-2.832673,-0.03913424,-0.65034306,-19.90776,-0.36682916,0.03935928,23.831509,-2.755064,-0.50676733,-24.566189,1.0477637,-0.20932119,-16.103922,0.8436422,-0.9693572,18.356392,-3.638007,-0.21109593,-5.6924515,1.0377631,0.33538625,-2.822117,-0.35380793,1.1594397,-3.051035,0.3511113,0.30185378,0.0361328125,0.031664565,1434.9079089842567,3531.25,1445.5838315110257,,False,0.0
-201.57524,11.562958,-24.599735,103.09469,-3.8413427,7.2725873,-6.251277,3.3838842,-2.854464,67.10461,0.16240285,-0.3964369,-0.5749972,-1.7994263,1.918462,7.70602,3.2743948,-2.4440236,-35.454384,3.0729282,2.6463754,-24.593243,3.0980089,-1.0257696,2.8058243,-2.0290241,0.5908167,-0.5103926,1.0544299,-0.25677526,-10.415535,-1.8773841,1.0513109,-9.035787,-0.03913424,-0.65034306,-14.305359,-0.36682916,0.03935928,16.520386,-2.755064,-0.50676733,-20.418926,1.0477637,-0.20932119,-14.060649,0.8436422,-0.9693572,17.960804,-3.638007,-0.21109593,-2.8204432,1.0377631,0.33538625,-11.199161,-0.35380793,1.1594397,0.11356652,0.3511113,0.30185378,0.13720703125,0.032585576,1459.8371124783682,3570.3125,1536.4022514397282,119.26495573315601,True,0.011853505394683413
-204.78911,11.562958,-24.599735,52.41003,-3.8413427,7.2725873,32.1045,3.3838842,-2.854464,50.044975,0.16240285,-0.3964369,0.78530014,-1.7994263,1.918462,16.394436,3.2743948,-2.4440236,-39.10903,3.0729282,2.6463754,-10.413315,3.0980089,-1.0257696,-4.5098557,-2.0290241,0.5908167,10.797893,1.0544299,-0.25677526,-13.526012,-1.8773841,1.0513109,-9.266161,-0.03913424,-0.65034306,-9.899829,-0.36682916,0.03935928,6.924657,-2.755064,-0.50676733,-16.681026,1.0477637,-0.20932119,-4.754138,0.8436422,-0.9693572,9.724989,-3.638007,-0.21109593,1.3085468,1.0377631,0.33538625,-15.080344,-0.35380793,1.1594397,-1.7978195,0.3511113,0.30185378,0.2490234375,0.03341566,2261.5772409755054,4953.125,2144.863024425578,119.26495573315601,True,0.026168028608935755
-239.37968,11.562958,-24.599735,1.5380818,-3.8413427,7.2725873,43.322212,3.3838842,-2.854464,43.64639,0.16240285,-0.3964369,-16.50984,-1.7994263,1.918462,24.759266,3.2743948,-2.4440236,-22.967422,3.0729284,2.6463754,1.6152189,3.0980089,-1.0257696,-4.5006266,-2.0290241,0.5908167,8.118219,1.0544299,-0.25677526,-12.149614,-1.8773841,1.0513109,6.410357,-0.03913424,-0.65034306,-9.49351,-0.36682916,0.03935928,3.5307174,-2.755064,-0.50676733,-8.154384,1.0477637,-0.20932119,1.2288755,0.8436422,-0.9693572,-2.5756702,-3.638007,-0.21109593,-4.4539537,1.0377631,0.33538625,-14.910208,-0.35380793,1.1594397,0.26168716,0.3511113,0.30185378,0.294921875,0.030521935,3694.446901469419,5796.875,2030.6931601402011,120.65074776640884,True,0.034897428019625254
-245.21298,-7.0287013,-2.997642,17.428593,1.928598,14.575428,49.27424,1.8987974,-7.7532578,51.387108,-4.802343,-1.3694817,-12.415158,-1.3345153,0.2634035,32.502857,1.6515988,-2.984593,-22.112385,4.8567367,1.2773826,1.141555,2.6272922,-2.5396814,-4.770531,-2.4694343,0.20801415,2.4358995,0.34629032,-1.3480934,-20.608402,-0.4068761,1.255241,2.7627635,0.2068437,0.05962923,-15.62867,1.0753069,0.4063606,5.3863955,-2.6823795,1.1694586,-12.779711,1.806894,-0.5573107,-9.431073,0.37602466,-0.7326155,-5.620201,-3.9538443,0.7524583,-2.1474986,0.43522027,-0.79219234,-14.195057,0.47961634,1.1240016,2.456618,0.36572236,-0.6117176,0.318359375,0.021407232,3245.48307514683,5546.875,2157.586069371453,129.31026969119696,True,0.01000000000061386
-248.6188,-4.763509,8.649745,41.998703,13.366334,13.7705345,43.99971,-4.72926,-7.5972486,64.09065,-7.3852677,-4.69287,-3.3566167,-1.5141523,-0.19537167,35.333565,-0.15192904,-2.5494301,-16.573065,4.93486,-1.0643225,-8.177963,-0.17461067,-2.5063467,-9.445535,-1.8658404,0.15448247,6.2359056,-0.17714651,-0.59042144,-21.7942,0.16411304,1.3158349,-8.952274,0.8561891,0.28282312,-15.475086,1.6992015,1.5507295,5.2458305,-1.6452367,0.8328664,-11.527563,0.7343412,-0.81535006,-14.090015,0.022908645,-0.012469677,-0.2214858,-2.9178698,1.394929,2.2262857,-0.46083972,-1.0466996,-6.6778884,1.3187973,0.23398899,3.4815855,-0.256274,-0.7603786,0.2294921875,0.022514354,2310.340610786078,4968.75,2157.017677272452,113.22324603078411,True,0.01000020633903134
-268.37085,4.306955,12.86653,60.089012,22.489758,6.5397778,31.054718,-12.747511,-6.265777,61.519913,-7.612555,-4.0305324,-7.219228,-1.2790736,-0.3543438,25.95052,-3.0095627,-2.5329745,-6.135878,3.4888458,-2.5148242,-10.774746,-2.9601827,-1.961585,-8.645784,-0.3723817,0.9722562,11.785564,-1.0438031,-0.10707454,-22.52449,1.040271,1.1340317,-11.357502,1.596242,1.4502344,-15.128632,1.4643842,0.89325917,0.77340424,-0.9626708,0.2843438,-9.959129,-0.36209038,-0.88423735,-8.750141,-0.3077758,0.8240772,-4.265089,-1.8060141,0.86748743,6.9204044,-0.80660903,-0.7283185,-8.097546,1.2185823,-0.57936877,4.6218095,-0.70584106,-0.9105987,0.130859375,0.021827016,1911.861471224231,4359.375,2012.845574466999,106.86851352689665,True,0.012403124793551348
-319.50717,13.15127,11.445639,93.28018,22.9872,-4.083521,12.405871,-16.971754,-4.07854,52.044945,-6.414679,0.13257824,-1.6210322,-0.6721865,-0.93529,12.82235,-5.461688,-1.9175195,0.54611874,1.0323583,-2.587364,-0.9379301,-3.8435311,-0.44842362,-6.354151,0.99358153,1.921958,6.123524,-0.76326084,-0.10650229,-12.406723,1.8107358,0.8512198,-4.4673033,1.8570496,2.1809077,-14.2252035,0.80268836,-0.6837544,-8.153999,-0.57621527,0.41291064,-14.160662,-1.410972,-0.76466095,-8.617696,-0.090782374,0.78462243,-12.980827,-0.6444561,0.5312492,2.906909,-0.9175829,-0.77526253,-7.752031,0.44703865,-1.1250528,1.4832007,-1.232703,-0.5396945,0.07568359375,0.025829952,1371.0844463835574,3281.25,1746.3251330624096,103.22817963382575,True,0.20650679911775222
-254.34845,17.437372,7.0729194,142.38034,15.321747,-10.83138,-4.1822624,-17.302248,0.40689468,5.009883,-3.9746046,5.4125166,-18.196047,-0.9648876,0.22694606,15.468531,-7.546247,-1.3579369,2.4204907,-0.11525767,-2.2781017,-10.2239485,-2.8411143,0.8397632,-19.090807,2.3366446,2.0825887,-3.2719073,-1.1385722,-0.57462054,-8.4557495,2.427936,-0.23242274,1.7299483,2.6139514,0.6245096,0.2715218,0.36063504,-1.7980733,4.7484517,-0.19117144,0.7824671,-4.6741323,-1.5749599,-0.8271666,-8.718042,0.7210625,-0.09735045,-11.338556,0.30738166,1.1727366,-7.9356503,-1.7508527,-0.4494778,-3.7626982,-0.44022423,-1.182062,-2.6072145,-1.6010119,-0.11140524,0.05615234375,0.05239796,1061.8011285777325,1789.0625,1334.2215376089396,96.31529725464738,True,0.09203757081218102
-190.00516,19.350842,0.22603036,179.5758,7.6547503,-12.658691,-29.962055,-14.602559,4.528064,-16.63057,-0.6990803,8.350707,-17.794659,-0.950221,1.2301246,13.728056,-8.602052,-0.874394,-8.329523,-1.7560887,-1.5228927,-23.098778,-1.7959828,1.1488949,-12.350493,3.0987458,1.0856386,6.044691,-2.1642017,-0.5368142,-11.14896,2.0750015,-0.8891785,4.528864,2.9024618,-1.1905347,5.7949877,-0.35937238,-1.7907287,0.4695948,0.36530092,0.66398156,-16.110985,-1.9770597,-0.3837811,-5.9910383,0.54481983,-0.59268004,-5.1457844,1.4215173,1.9407063,-8.747298,-2.3446577,0.11552758,-5.0089006,-1.0274856,-0.42787263,-4.2755523,-1.6080933,0.33574396,0.0615234375,0.07015044,881.2950354995066,1351.5625,916.8431124003681,117.89508087899223,True,0.01010197459374499
-154.92586,16.430597,-9.971139,180.93185,2.2188714,-9.488673,-69.51825,-9.966519,7.2560863,7.264407,3.4011223,7.2908506,-14.980642,-0.052817114,1.3239701,-6.330629,-7.711151,0.19814897,-14.3010025,-2.714947,0.058300953,-32.407814,-0.87320006,1.9735204,2.179111,3.1968868,0.08214189,-0.4220096,-3.0006938,-0.5803809,-7.0956335,0.91688544,-1.4974946,15.483753,1.8684174,-2.0670125,-7.6630054,-1.1864829,-1.3476655,-1.5506337,1.2721046,0.4450863,-19.539446,-2.1238027,0.12601738,-5.6804347,-0.13930936,-0.5053387,-9.388624,2.6469674,1.2504071,-4.8466606,-2.5594716,0.37807745,-9.175234,-0.860414,0.05088547,-5.9509935,-1.343433,0.6349919,0.06591796875,0.08411527,977.0861715704929,1640.625,873.6424660405904,124.18608452867444,True,0.013980210380185928
-142.6384,11.1662035,-15.240127,134.35724,-2.136556,-2.8705418,-76.3696,-5.182918,7.316422,35.006348,7.9674582,3.9588034,-14.705298,1.1837559,1.705095,-14.617686,-6.3738217,1.4893813,-19.601448,-3.1077614,0.8278324,-23.553013,-0.6807842,1.8671621,9.2546,3.0884678,-0.9790686,2.6727142,-3.1472027,-0.9399468,-3.9629583,-0.6048992,-1.2523879,14.712927,0.0137827,-2.1696055,-17.912508,-1.8725106,-0.23913915,1.4846165,1.7558013,0.11096356,-23.2787,-1.5113337,0.8628294,-7.003352,0.22707386,0.091199405,-5.1856785,3.1650312,-0.026445687,-6.9925203,-1.8678803,0.30554333,-13.887701,-0.4094392,0.8699115,-6.2373238,-1.0246677,0.34240165,0.0732421875,0.09598259,1297.9510288171846,2343.75,1122.98712760955,129.31026969119696,True,0.01002672467381077
-152.2357,2.4710908,-8.19345,95.99057,-4.287166,4.3425465,-59.104027,-2.144033,4.2355523,57.8779,10.695851,-2.4821935,-10.4528475,2.8120306,0.59362906,-27.313263,-4.574409,3.6669452,-15.26849,-2.3184652,1.3016467,-13.587128,-0.2696051,-0.28446928,12.340676,2.2271323,-2.7397816,-5.8467956,-3.0568566,-0.55574465,-5.5916615,-1.1179402,-0.7837638,8.553464,-0.8048908,-1.0698091,-17.128939,-2.5731552,1.1938514,4.3458548,1.2078599,0.41258124,-22.313017,-0.58215165,2.0589254,-6.1216507,0.12459936,0.107891805,3.3166752,2.7974792,-0.56732804,-12.6991005,-0.68119055,0.4766773,-15.537999,0.23982625,1.5315542,-7.543289,-0.7358795,0.08178168,0.07177734375,0.09108148,1543.7370426985524,2804.6875,1316.9452162925825,136.21039964151845,True,0.2796051653363589
-158.74759,-5.051315,-2.9085433,99.717384,-2.258376,8.643509,-46.69789,1.2918342,0.8951859,64.291626,7.975123,-6.632678,-9.446435,1.8101482,-0.83744174,-34.579567,-1.4635159,4.5971394,-21.81078,-0.53154874,1.2921404,-16.154911,0.3545259,-1.384421,8.173952,-0.26628086,-2.7542892,-11.989921,-3.063788,0.99166185,-7.930712,-1.3938404,-0.52010846,6.62286,-1.1431617,0.095280685,-15.538157,-2.0888906,1.3511794,4.80147,1.1964165,-0.52049994,-23.642696,1.6351886,1.9491245,-9.45566,-0.47274524,-0.18747242,11.029892,1.7747508,-1.2918009,-14.051483,0.12821534,1.2868167,-12.088863,0.8683324,1.040151,-6.819782,-0.6187847,0.00024411689,0.06396484375,0.08390143,1491.6705271097549,2632.8125,1327.8486061882031,136.9994584594705,True,0.9459302094659092
-205.37964,-11.646239,-2.3833592,123.04371,2.842109,7.347863,-35.05248,5.9195137,0.06492594,64.0085,2.2165372,-6.42815,-6.786372,-0.3013078,-2.4822764,-25.687977,1.6087639,3.0516505,-18.42994,1.1950943,1.6496209,-10.664863,1.1652244,-0.5597345,7.2944245,-2.1183388,-1.36851,-17.50932,-2.5461533,0.99711066,-15.356761,-1.6966492,0.2799833,2.3933628,-1.3321424,1.2159601,-17.314056,-0.3569425,0.77465314,10.085916,0.35093933,-1.3684207,-24.093271,2.806951,1.4640772,-11.256426,-0.46678787,-0.107902914,10.113741,1.0134349,-1.9238499,-16.809845,0.6261442,1.4898762,-9.643781,0.93707454,-0.22202016,-6.343969,0.22250728,0.65849364,0.06640625,0.078937046,1235.0850572053282,2476.5625,1299.6391751965198,136.9994584594705,True,0.6860828109301793
-205.04205,-12.01865,0.60883915,136.89885,8.687993,2.2242298,-36.420876,5.07916,-1.1416663,74.19338,-4.0088687,-5.7718344,2.271989,-1.2199967,-2.2099156,-22.518124,4.7299266,2.691928,-23.449978,1.6454285,0.8186607,-18.996113,-0.86308765,-0.78003216,7.3813305,-2.5449393,0.040035855,-20.032955,-1.9695739,1.36748,-18.28957,-1.6677889,0.7269395,-4.0725493,-0.16101447,1.6253592,-16.090622,1.0564623,0.7982971,10.539864,-0.23365916,-0.9880783,-17.807064,3.2496784,0.38250512,-1.4651855,-0.019937007,0.23570897,7.1412544,-0.223512,-1.4549661,-13.840448,1.1935931,0.73251617,-4.352134,0.2431694,-1.5591406,-9.414062,1.0281416,1.0811235,0.0556640625,0.0716651,1116.2416743556446,2375.0,1207.5405215968801,133.87038650376502,True,0.2796051653363589
-176.75023,-8.846554,3.1628737,147.6846,10.608298,-2.1082146,-56.149452,1.9259055,-1.6917448,61.636322,-7.1206965,-2.8487995,3.522575,-0.8989014,-0.22834411,-11.293824,7.41439,1.644967,-18.399345,0.877548,-0.36918855,-30.066025,-3.3050032,-1.5464365,-2.770186,-2.1673512,1.0316573,-17.357208,-0.44989592,1.1958098,-14.746892,-1.5589051,0.3979282,4.675358,0.6127479,0.86802304,-17.679659,1.6520113,1.0477837,8.666161,-0.72773623,-0.55468595,-9.766436,2.9818616,-0.642034,-6.842369,0.28226358,0.395831,7.603278,-1.3692216,-0.56387866,-6.587313,1.7914749,-0.033414,-0.8733152,-0.42654654,-1.6348736,-9.449423,1.6090451,0.95493823,0.046875,0.0673788,1128.2881130920055,2273.4375,1132.214570584256,123.47082531403102,True,0.020317628556360583
-204.9188,-7.4530625,2.1040187,162.60152,7.705904,-4.0508504,-46.59839,0.11004929,-1.3875562,41.09117,-6.528553,1.0574952,-13.92511,0.9674809,2.3684368,-0.9583891,8.122957,0.10425945,-10.51437,0.046245124,-1.9116466,-22.546247,-4.0901666,-1.4429017,-10.434536,-0.9345636,1.6942407,-12.942263,1.1371269,1.282262,-16.713543,-1.2920495,0.048421785,6.4204993,0.5859436,-0.16547135,-18.890545,1.814426,0.6129883,4.7906075,-1.3413929,-0.38768563,-1.2036684,2.5817003,-1.4154842,-13.696156,0.5048851,0.14194925,0.8688181,-1.9011079,0.18932335,-1.0669286,1.6980128,-0.682778,-4.451692,-0.74448,-0.5842559,-9.644962,2.0212753,0.70249265,0.0478515625,0.06394204,958.3139513447163,2000.0,1055.4209517014503,116.54094037952247,True,0.020317628556360587
-259.07828,-5.4790277,-0.09669541,167.2379,-2.827598,-10.097061,-7.1004915,1.5890925,1.1845231,31.594196,-3.5801594,5.042099,-30.002718,0.8523279,2.169319,-3.4687238,7.0547676,-1.0600971,-1.2146685,-0.6510203,-1.7056466,-6.7347717,-1.9016402,1.7815957,-7.0755334,-1.1448914,0.75949794,-19.13711,2.9929302,1.6616828,-15.815104,-0.7226014,-0.14334765,6.333843,-0.19835502,-1.6322367,-11.870139,2.0197868,0.009726893,-2.3607883,-2.1815786,-0.1969916,-1.7236516,2.046868,-1.3919778,-9.29991,0.5423232,0.20892979,0.10088511,-1.6798681,0.40882957,-3.007344,1.7729592,-0.66522056,-11.4626465,-0.62795866,0.585745,1.5439813,1.7138792,-0.37582874,0.0400390625,0.06706141,785.4637879782995,1218.75,1034.0295999866196,111.27813843321147,True,0.05607139544589263
-226.85797,-3.80383,3.1670792,173.63934,-12.532927,-12.762944,-33.960358,3.7416077,1.7562822,6.7793636,-0.24463575,7.1478806,-18.680746,-0.02887667,0.9728008,18.038681,4.7496033,-3.0614882,-11.11624,-1.148978,-1.4411459,-33.592636,1.6707215,3.7117968,-2.5369368,-0.9700376,0.073918566,-16.465015,3.695662,1.1191174,-17.073261,0.18522766,0.7312345,13.493107,-0.3331379,-1.4024026,-4.2420783,2.0515888,-0.34273568,3.3700814,-2.3706157,-0.084564276,-4.7767706,1.3932085,-0.515258,-3.9019794,0.5314079,0.6723247,-0.41836324,-1.3214957,0.46515846,-5.40535,1.1029328,-0.50349665,-19.307877,-0.819163,1.0677058,4.558301,1.3039408,-1.3062983,0.046875,0.06398526,880.2508163975186,1445.3125,978.1057734571009,106.86851352689665,True,0.2796051653363589
-207.03271,1.884021,8.619377,171.15082,-15.178775,-6.310205,-51.20021,4.2724395,0.105233915,18.684355,3.437991,5.139933,-1.3531878,0.069224715,-0.63032556,27.939339,0.7717336,-4.7553635,-21.967712,-3.0459528,-1.1917299,-51.161392,4.4754796,4.243547,-0.49747914,-0.061807696,-0.4755291,-10.197691,3.1055014,-0.13892591,-22.283161,0.76530015,1.3380872,7.9984946,-0.65713733,0.025725009,-2.8428066,1.8852246,-0.83001447,2.1640189,-2.2271075,-0.026241835,-7.070197,0.44807583,-0.06450208,-3.973473,0.55997634,-0.50683224,-2.060919,-1.4313648,0.11735939,-2.4062073,-0.000910008,-0.47195628,-15.587615,-0.96729046,0.68651414,4.172577,0.34380683,-1.7581168,0.05322265625,0.057863854,964.8386882260364,1664.0625,960.7050630583823,106.252996181733,True,0.37213589829750865
-237.81375,9.41665,6.9813395,155.96704,-14.225467,2.2890673,-46.428852,0.82294863,-1.3668689,41.573982,6.5631237,2.0108287,19.848581,0.7496688,-2.4209642,24.809628,-3.576179,-5.758231,-28.926811,-3.305281,0.69448555,-45.669563,4.888819,3.3038247,6.034897,0.7153023,-0.11218644,-1.7557331,2.1356547,-1.4555821,-22.457756,1.309022,1.0140542,2.010715,0.1821002,1.3202467,-6.551858,0.5024213,-1.7223238,-3.0363722,-1.2915779,0.5720331,-6.210338,-0.6633222,-0.3027509,-5.511816,0.38665313,-1.0327704,-2.700324,-1.2056656,-0.2848556,-4.4965596,-0.91154206,-0.702356,-8.672984,-0.61596996,-0.07220493,5.877407,-0.67288697,-1.4587684,0.115234375,0.053128216,1023.6020063803961,1757.8125,1026.1102297546265,105.03257643014581,True,0.1279370863012903
-242.36024,11.595134,0.78490514,51.83603,-12.9021225,6.861775,-9.344237,-1.7941449,-1.12665,64.82459,8.065553,-0.83446884,-3.5571077,0.34767684,-2.6948495,20.271877,-6.97748,-5.049832,-22.152967,-2.2858355,2.2621894,-5.875096,5.3006425,1.2529258,-11.979874,0.84810483,0.7074249,10.977648,1.4577993,-2.429783,-19.211578,1.7954748,0.71842915,-8.574131,1.1409562,2.006959,-5.251869,-1.3299803,-1.7004772,-8.849386,0.1401439,1.4542252,-2.5426393,-1.1955781,-0.8970817,-3.9695973,0.092445396,-0.23767379,-2.5492034,-1.091915,-0.010211028,1.7706797,-1.3469782,-1.0130507,-4.7513275,0.16931519,-0.35697398,-2.4661984,-1.5017986,-0.11560405,0.18994140625,0.033360414,2380.9278584789945,4429.6875,1811.3119600353887,103.82617439498627,True,0.018187375734912182
