mfcc_0,mfcc_delta1_0,mfcc_delta2_0,mfcc_1,mfcc_delta1_1,mfcc_delta2_1,mfcc_2,mfcc_delta1_2,mfcc_delta2_2,mfcc_3,mfcc_delta1_3,mfcc_delta2_3,mfcc_4,mfcc_delta1_4,mfcc_delta2_4,mfcc_5,mfcc_delta1_5,mfcc_delta2_5,mfcc_6,mfcc_delta1_6,mfcc_delta2_6,mfcc_7,mfcc_delta1_7,mfcc_delta2_7,mfcc_8,mfcc_delta1_8,mfcc_delta2_8,mfcc_9,mfcc_delta1_9,mfcc_delta2_9,mfcc_10,mfcc_delta1_10,mfcc_delta2_10,mfcc_11,mfcc_delta1_11,mfcc_delta2_11,mfcc_12,mfcc_delta1_12,mfcc_delta2_12,mfcc_13,mfcc_delta1_13,mfcc_delta2_13,mfcc_14,mfcc_delta1_14,mfcc_delta2_14,mfcc_15,mfcc_delta1_15,mfcc_delta2_15,mfcc_16,mfcc_delta1_16,mfcc_delta2_16,mfcc_17,mfcc_delta1_17,mfcc_delta2_17,mfcc_18,mfcc_delta1_18,mfcc_delta2_18,mfcc_19,mfcc_delta1_19,mfcc_delta2_19,zero_crossing_rate,rms,spectral_centroid,spectral_rolloff,spectral_bandwidth,f0,voiced_flag,voiced_probs
-574.68494,39.802334,-28.771893,35.13282,1.3386745,-1.1990677,7.430831,-0.8054989,0.80647874,16.460613,1.2818744,-0.7965622,14.637595,-1.3292831,0.86352783,8.635571,-1.8127899,-1.085037,2.0020275,-0.22013353,-1.0081555,7.1458883,0.34430194,0.113575555,10.96966,-2.1340828,0.63938606,-5.7832603,0.50616664,-0.89721453,-17.103985,0.65321684,-1.1692355,-20.260353,2.1261067,-1.1076853,-17.39023,1.7158312,-0.7569204,-6.39781,0.5825007,0.38293868,0.8315452,-0.6228071,0.08867746,1.8664122,-0.7310827,-0.32600668,1.009841,-0.6596216,-0.45395735,-2.9236488,0.7770666,0.120865166,-8.469105,0.7191913,0.4318576,-1.8931059,-0.65082574,0.23024312,0.0283203125,0.006598512,2344.677981934524,4507.8125,1979.8770289847948,,False,0.0
-287.67535,39.802334,-28.771893,63.776474,1.3386745,-1.1990677,-0.60442847,-0.8054989,0.80647874,39.407524,1.2818744,-0.7965622,5.32722,-1.3292831,0.86352783,21.446995,-1.8127899,-1.085037,0.5323357,-0.22013353,-1.0081555,10.290701,0.34430194,0.113575555,6.263838,-2.1340828,0.63938606,-1.0097755,0.50616664,-0.89721453,-16.678595,0.65321684,-1.1692355,-9.616145,2.1261067,-1.1076853,-10.4448185,1.7158312,-0.7569204,3.6573434,0.5825007,0.38293868,3.8266006,-0.6228071,0.08867746,11.061442,-0.7310827,-0.32600668,-3.1463752,-0.6596216,-0.45395735,-4.9598346,0.7770666,0.120865166,-11.905134,0.7191913,0.4318576,-6.536702,-0.65082574,0.23024312,0.05615234375,0.016394133,2099.4905343242935,4359.375,1979.1039340703376,,False,0.0
-192.48639,39.802334,-28.771893,66.26068,1.3386745,-1.1990677,-3.236288,-0.8054989,0.80647874,35.807777,1.2818744,-0.7965622,0.57601595,-1.3292831,0.86352783,18.848854,-1.8127899,-1.085037,7.0586014,-0.22013353,-1.0081555,10.390091,0.34430194,0.113575555,3.8405814,-2.1340828,0.63938606,4.747981,0.50616664,-0.89721453,-10.117596,0.65321684,-1.1692355,-2.686252,2.1261067,-1.1076853,-3.3098488,1.7158312,-0.7569204,2.395035,0.5825007,0.38293868,-1.7363784,-0.6228071,0.08867746,6.98446,-0.7310827,-0.32600668,-1.8134723,-0.6596216,-0.45395735,-1.8207021,0.7770666,0.120865166,-3.7314749,0.7191913,0.4318576,-2.6883366,-0.65082574,0.23024312,0.0966796875,0.026117234,2083.820163903809,4335.9375,1968.9318433024744,,False,0.010000000003996623
-149.64548,39.802334,-28.771893,62.78569,1.3386745,-1.1990677,-4.2330775,-0.8054989,0.80647874,34.60527,1.2818744,-0.7965622,-1.0205195,-1.3292831,0.86352783,15.292177,-1.8127899,-1.085037,12.04028,-0.22013353,-1.0081555,9.192097,0.34430194,0.113575555,2.6528652,-2.1340828,0.63938606,7.2721806,0.50616664,-0.89721453,-7.086974,0.65321684,-1.1692355,-1.8904387,2.1261067,-1.1076853,-2.2480924,1.7158312,-0.7569204,-0.47571376,0.5825007,0.38293868,-0.8876,-0.6228071,0.08867746,3.8684707,-0.7310827,-0.32600668,1.0503064,-0.6596216,-0.45395735,1.1205752,0.7770666,0.120865166,-6.2718496,0.7191913,0.4318576,-5.369113,-0.65082574,0.23024312,0.13037109375,0.032951362,2159.160046225928,4398.4375,1992.060120767427,,False,0.01
-128.68463,39.802334,-28.771893,55.478786,1.3386745,-1.1990677,-3.8959203,-0.8054989,0.80647874,34.087765,1.2818744,-0.7965622,0.51662445,-1.3292831,0.86352783,15.122839,-1.8127899,-1.085037,11.776272,-0.22013353,-1.0081555,8.535698,0.34430194,0.113575555,-5.1551647,-2.1340828,0.63938606,3.148114,0.50616664,-0.89721453,-7.0652876,0.65321684,-1.1692355,-3.9197888,2.1261067,-1.1076853,-5.38708,1.7158312,-0.7569204,-0.7765616,0.5825007,0.38293868,3.2101512,-0.6228071,0.08867746,4.222682,-0.7310827,-0.32600668,0.35048985,-0.6596216,-0.45395735,0.47504407,0.7770666,0.120865166,-10.012419,0.7191913,0.4318576,-6.662771,-0.65082574,0.23024312,0.13671875,0.038564436,2284.5903832520307,4664.0625,2027.4704204549735,,False,0.010000000000613858
-120.01374,12.743595,-12.308307,57.409798,-0.47215596,0.58840334,-1.916137,-0.11202345,0.24371132,34.461082,0.22842859,0.6381382,-1.8331916,-0.67361987,0.04531252,8.95033,-2.7635386,-0.0019854635,2.9876924,-0.6240031,-0.6475591,5.9843316,0.22171994,0.21606234,-8.602529,-1.9599888,0.24592374,2.487434,0.009052523,-0.23093972,-5.9695616,0.117684,-0.9012628,-0.32821053,0.82409585,-0.7395049,-3.5336697,0.9928388,-0.29599902,-4.699915,0.54001415,1.1350204,-1.4753904,-0.4513159,0.42717385,3.8395739,-0.8908357,0.51991755,1.2851737,-0.4365975,-0.29405597,-2.0147002,0.7706188,-0.0462765,-10.579744,0.81338453,0.24291174,-9.116375,-0.31864822,0.21326053,0.14892578125,0.04182923,2321.6411912888047,4703.125,2017.1331379391027,,False,0.010000000101429396
-119.493256,1.8879414,-6.7068667,58.210594,-0.29060668,0.54950184,-5.0831323,0.050914872,-0.0064837155,34.931618,0.66569597,0.28450444,0.9660163,-0.8791786,-0.6526706,7.7083445,-2.5267076,0.23081142,3.4731684,-1.1858034,0.17839894,11.497316,0.24712698,0.016730918,-2.2058673,-2.1143858,-0.1622444,3.908114,-0.22274521,0.3507462,-6.8856907,-0.10308803,0.12936707,2.8062143,0.24056791,-0.3977485,0.6145834,0.649386,0.09938845,-3.657147,0.85605043,0.5846984,-6.615563,0.029038962,0.30937535,2.0891562,-0.25666958,0.4743317,-3.177487,-0.3932163,0.27160186,-2.596131,0.506725,0.063186996,-8.283724,0.8984248,0.7436446,-9.213056,0.13131955,0.8504421,0.158203125,0.03995213,2305.7280223296316,4664.0625,2002.0278831926673,,False,0.010000000101429398
-128.80446,-3.9548986,-3.8071675,62.218216,0.29344374,0.16708662,-3.7894669,-0.057978675,-0.18656453,37.362938,0.84924114,0.05941731,2.6922674,-1.3064529,-0.79222095,6.953301,-2.3807037,0.24554181,2.7599797,-1.4998081,0.42625138,13.113213,0.33621758,-0.1680317,-3.38677,-1.7778059,-0.03059411,1.578121,-0.13473481,0.4067548,-11.718666,-0.046483018,0.56515056,2.0147603,0.063830726,-0.39232427,-1.0222027,0.6500689,-0.05587317,2.8410459,0.7268909,-0.372305,-2.402154,-0.32965565,0.06761875,2.7469306,-0.3139736,-0.022967912,-6.2995243,-0.22015883,0.7222758,2.9832435,0.75474674,0.38392293,-2.0241187,1.5613164,0.40307814,-5.461712,0.9080914,0.8254616,0.1689453125,0.038846344,2230.4448377826275,4570.3125,1991.261934714665,,False,0.010000000208892745
-140.70763,-7.9377875,-2.4857764,61.75065,1.1202838,0.13190389,-1.9186871,0.09695741,0.1065234,37.696297,0.6232633,-0.355444,-3.3172698,-1.7131898,-0.5169204,-0.5302917,-2.0506773,0.53234285,1.085155,-1.2071514,0.30021387,10.441862,0.34601855,-0.25029293,-7.966552,-1.3620528,-0.20406218,1.4844372,-0.18453638,-0.24364428,-12.920984,0.029624907,0.47855258,-0.22872047,0.069790386,-0.20711808,-0.36054713,0.79379416,-0.20070915,7.034065,0.695221,-0.6658692,-1.2524554,-0.6386593,-0.10452836,-0.4090681,-0.45693916,-0.12638532,-5.896331,0.2010106,0.75870115,3.9465752,1.1095436,0.23854202,-1.7388985,1.9594758,-0.045371003,-8.26256,1.5552024,0.69455606,0.17919921875,0.03582911,2266.0280622993555,4640.625,1973.5297968760979,,False,0.010000009287486632
-148.07385,-12.022735,-3.0649276,59.677444,1.8985039,0.9605579,-3.1979833,0.8153142,0.80247116,39.827766,0.7860418,-0.10028071,-3.8258555,-1.5085437,0.10638143,0.551338,-1.0018188,0.88852453,2.3683,-0.2932504,0.26715565,10.876709,0.2504934,-0.26218617,-11.998152,-1.5044831,-0.03708584,4.2307,-0.5604344,-0.54199624,-10.539846,0.15888646,0.35345507,-2.7319565,-0.08392584,0.28292888,0.12242669,0.44694105,-0.18760113,7.34005,0.5459316,-0.91794926,-0.09237492,-0.48064822,-0.54695094,4.3382044,-0.36571226,-0.07544418,-2.076284,0.5053215,0.50427675,2.1104493,1.0625718,-0.27755395,-3.754838,1.9136118,-0.24822742,-6.4518876,1.880435,0.22600779,0.193359375,0.030457288,2321.1001410408844,4671.875,1971.2031961382581,,False,0.010000000814014906
