filename,true,pred
ulriv,5,5
yuzyu,2,2
cobal,2,2
kefgo,5,2
sbrmv,3,2
qsfzo,2,2
jsmbi,5,5
ldkmv,5,4
qfdpp,4,4
laoyl,2,2
kckqn,3,3
crorm,2,2
zajzs,2,2
oqwpd,4,4
bxpwa,5,3
xvllq,3,3
yfcmz,4,2
tiido,2,4
plbbw,2,4
imbqf,5,5
iwdjy,3,2
qzwxa,2,2
jcako,3,3
uatlu,3,3
jhdav,5,5
mbzht,5,5
lpola,3,4
dxokr,4,2
mpvoh,2,3
ampme,3,2
rmvsh,2,2
ehpau,3,3
bspxd,3,3
lkikz,2,2
praxo,2,2
crylr,4,5
iqbww,3,2
rtvuw,3,2
jyirt,4,2
msbyq,4,3
lubpm,2,4
mupzb,2,2
fyqoe,3,3
ypwjd,4,5
vdlvr,4,4
kmunk,2,2
ifwki,2,2
afjiv,5,5
wcxfk,3,4
kuduk,5,2
dxbbt,3,3
bydui,3,3
ccokr,5,3
whmpa,2,2
ktzmw,4,2
esrit,5,5
fqrnu,4,3
pgkde,3,3
ycxxe,4,4
gofnj,3,2
imtug,2,2
dscgs,2,2
mqtep,4,3
uvnmy,4,2
oubab,4,4
eguui,3,5
hkzpa,2,2
aufkn,3,2
mesob,4,2
nnqfq,5,3
wwzsk,5,5
tvtoe,3,2
iabca,3,3
wbqza,5,2
mekog,2,2
sexgc,4,2
tkhgs,2,3
dhorc,4,4
blwmj,2,2
migzj,4,3
houcx,3,3
eucfa,4,2
kszpd,5,4
zfkap,4,3
ooxnm,5,4
ntchr,2,2
leneg,2,3
yzvon,5,3
hycgx,2,2
mkrcv,5,4
gwtwd,4,4
cqfmj,4,2
ikgcq,2,2
txcok,4,2
vbjlx,5,4
nprxc,4,2
cqaec,5,3
ppgjx,2,3
zcdsd,5,5
ioasm,3,3
qwepo,4,4
ltgmz,2,3
hiyis,2,2
bvyvm,3,3
isxwc,4,2
asxwr,3,3
myjoe,2,2
gqbvk,4,4
syiwe,3,4
lilfy,5,4
wprog,2,2
spzmn,2,2
kiadt,5,2
wdvva,2,2
bxcfq,2,2
mwfmq,2,2
mgpok,4,2
evtyi,2,2
gtjow,4,4
oenox,2,2
bwzyf,4,4
tpslg,5,4
crixb,2,2
xiglo,3,2
xmyyy,5,4
qygfk,4,2
jiqvr,3,3
mxdpo,2,2
lknjp,5,5
qhesr,2,2
fxnwf,3,2
ljpes,4,4
bravd,3,2
tucrg,3,5
ouvtt,2,3
rcxzg,4,2
bkwns,2,2
ylgug,3,2
gyomp,5,5
qpylu,2,3
eazeq,2,2
pkwrt,5,5
aepyx,4,2
ezsgk,3,3
szsyz,3,2
wjhgf,5,3
dzsef,3,2
mjgil,2,2
xkgos,4,3
willh,2,3
vmbga,4,2
zfzlc,2,2
yrsve,3,2
jynhe,5,5
olzkb,2,3
bjruf,2,3
sldwj,3,3
cwryz,4,2
tiams,5,4
ledhe,3,2
eqttu,2,2
vgaez,4,3
gqdxy,3,3
gmmwm,2,3
otmpf,3,2
sxqvt,2,2
zyffh,3,2
mvjuk,3,2
ngyrk,2,2
xtdcl,2,2
luobn,2,2
wmori,2,3
fvhrk,4,3
kklpv,2,2
gcvrb,2,3
ylzez,2,2
oxxwk,2,3
bgvvt,2,2
ocfop,2,2
oekmc,5,5
mevkw,3,4
zrlyl,2,2
vylyk,3,2
qvtia,2,3
goyli,5,3
kctgl,2,2
djngn,2,2
ywcwr,2,3
nxgad,2,2
fuzfh,3,2
gylzn,2,2
tnjoh,5,4
iqtde,4,4
cmfyw,5,5
rpkso,5,2
gpjne,2,2
bauzd,5,2
bmsyn,5,5
sosnj,3,2
ytmef,4,2
xkmqx,3,2
exymw,5,5
irvat,3,3
fxgvy,2,2
eddje,4,5
akthc,2,2
djqif,3,3
azisu,4,3
ahnss,4,2
jwggf,5,4
pccww,3,4
kkwkn,5,5
zsgto,5,3
tcwsn,2,3
paibn,3,3
udjij,5,5
femmv,4,3
jnivh,3,2
