filename,pred,true
ulriv,2,5
yuzyu,3,2
cobal,5,2
kefgo,2,5
sbrmv,5,3
qsfzo,2,2
jsmbi,3,5
ldkmv,3,5
qfdpp,5,4
laoyl,2,2
kckqn,5,3
crorm,5,2
zajzs,2,2
oqwpd,4,4
bxpwa,3,5
xvllq,5,3
yfcmz,3,4
tiido,2,2
plbbw,4,2
imbqf,5,5
iwdjy,2,3
qzwxa,2,2
jcako,5,3
uatlu,3,3
jhdav,5,5
mbzht,2,5
lpola,2,3
dxokr,5,4
mpvoh,2,2
ampme,2,3
rmvsh,4,2
ehpau,2,3
bspxd,5,3
lkikz,5,2
praxo,5,2
crylr,3,4
iqbww,4,3
rtvuw,5,3
jyirt,5,4
msbyq,3,4
lubpm,5,2
mupzb,4,2
fyqoe,2,3
ypwjd,2,4
vdlvr,5,4
kmunk,5,2
ifwki,2,2
afjiv,2,5
wcxfk,2,3
kuduk,5,5
dxbbt,5,3
bydui,2,3
ccokr,3,5
whmpa,3,2
ktzmw,5,4
esrit,2,5
fqrnu,5,4
pgkde,3,3
ycxxe,3,4
gofnj,2,3
imtug,3,2
dscgs,3,2
mqtep,4,4
uvnmy,4,4
oubab,3,4
eguui,3,3
hkzpa,3,2
aufkn,4,3
mesob,3,4
nnqfq,2,5
wwzsk,3,5
tvtoe,3,3
iabca,2,3
wbqza,5,5
mekog,4,2
sexgc,4,4
tkhgs,2,2
dhorc,3,4
blwmj,3,2
migzj,4,4
houcx,2,3
eucfa,3,4
kszpd,2,5
zfkap,4,4
ooxnm,4,5
ntchr,4,2
leneg,4,2
yzvon,3,5
hycgx,3,2
mkrcv,5,5
gwtwd,4,4
cqfmj,3,4
ikgcq,2,2
txcok,3,4
vbjlx,2,5
nprxc,3,4
cqaec,2,5
ppgjx,5,2
zcdsd,5,5
ioasm,5,3
qwepo,3,4
ltgmz,2,2
hiyis,3,2
bvyvm,5,3
isxwc,4,4
asxwr,3,3
myjoe,2,2
gqbvk,4,4
syiwe,3,3
lilfy,5,5
wprog,2,2
spzmn,2,2
kiadt,4,5
wdvva,3,2
bxcfq,5,2
mwfmq,2,2
mgpok,2,4
evtyi,3,2
gtjow,2,4
oenox,5,2
bwzyf,5,4
tpslg,5,5
crixb,2,2
xiglo,2,3
xmyyy,5,5
qygfk,5,4
jiqvr,3,3
mxdpo,5,2
lknjp,5,5
qhesr,3,2
fxnwf,5,3
ljpes,4,4
bravd,3,3
tucrg,2,3
ouvtt,2,2
rcxzg,2,4
bkwns,3,2
ylgug,2,3
gyomp,2,5
qpylu,3,2
eazeq,5,2
pkwrt,4,5
aepyx,4,4
ezsgk,2,3
szsyz,3,3
wjhgf,2,5
dzsef,2,3
mjgil,2,2
xkgos,3,4
willh,2,2
vmbga,4,4
zfzlc,2,2
yrsve,2,3
jynhe,2,5
olzkb,2,2
bjruf,5,2
sldwj,5,3
cwryz,4,4
tiams,2,5
ledhe,3,3
eqttu,2,2
vgaez,3,4
gqdxy,5,3
gmmwm,4,2
otmpf,3,3
sxqvt,2,2
zyffh,2,3
mvjuk,4,3
ngyrk,3,2
xtdcl,2,2
luobn,5,2
wmori,2,2
fvhrk,3,4
kklpv,3,2
gcvrb,2,2
ylzez,5,2
oxxwk,3,2
bgvvt,4,2
ocfop,5,2
oekmc,3,5
mevkw,5,3
zrlyl,2,2
vylyk,2,3
qvtia,2,2
goyli,3,5
kctgl,2,2
djngn,2,2
ywcwr,2,2
nxgad,2,2
fuzfh,2,3
gylzn,2,2
tnjoh,2,5
iqtde,3,4
cmfyw,4,5
rpkso,5,5
gpjne,2,2
bauzd,4,5
bmsyn,3,5
sosnj,3,3
ytmef,5,4
xkmqx,2,3
exymw,3,5
irvat,4,3
fxgvy,3,2
eddje,3,4
akthc,2,2
djqif,5,3
azisu,4,4
ahnss,3,4
jwggf,3,5
pccww,4,3
kkwkn,3,5
zsgto,2,5
tcwsn,2,2
paibn,3,3
udjij,3,5
femmv,3,4
jnivh,4,3
