filename,pred,true
ulriv,5,5
yuzyu,2,2
cobal,5,2
kefgo,5,5
sbrmv,2,3
qsfzo,5,2
jsmbi,2,5
ldkmv,3,5
qfdpp,3,4
laoyl,2,2
kckqn,2,3
crorm,2,2
zajzs,2,2
oqwpd,4,4
bxpwa,4,5
xvllq,2,3
yfcmz,3,4
tiido,2,2
plbbw,2,2
imbqf,2,5
iwdjy,2,3
qzwxa,2,2
jcako,5,3
uatlu,2,3
jhdav,2,5
mbzht,2,5
lpola,5,3
dxokr,2,4
mpvoh,4,2
ampme,3,3
rmvsh,2,2
ehpau,2,3
bspxd,5,3
lkikz,3,2
praxo,2,2
crylr,3,4
iqbww,4,3
rtvuw,2,3
jyirt,3,4
msbyq,3,4
lubpm,2,2
mupzb,5,2
fyqoe,2,3
ypwjd,2,4
vdlvr,5,4
kmunk,2,2
ifwki,2,2
afjiv,3,5
wcxfk,2,3
kuduk,2,5
dxbbt,2,3
bydui,2,3
ccokr,2,5
whmpa,3,2
ktzmw,2,4
esrit,2,5
fqrnu,5,4
pgkde,3,3
ycxxe,3,4
gofnj,2,3
imtug,3,2
dscgs,4,2
mqtep,2,4
uvnmy,2,4
oubab,3,4
eguui,3,3
hkzpa,5,2
aufkn,4,3
mesob,2,4
nnqfq,2,5
wwzsk,5,5
tvtoe,2,3
iabca,2,3
wbqza,4,5
mekog,3,2
sexgc,4,4
tkhgs,3,2
dhorc,4,4
blwmj,2,2
migzj,2,4
houcx,2,3
eucfa,3,4
kszpd,3,5
zfkap,2,4
ooxnm,5,5
ntchr,2,2
leneg,2,2
yzvon,3,5
hycgx,2,2
mkrcv,3,5
gwtwd,2,4
cqfmj,3,4
ikgcq,2,2
txcok,2,4
vbjlx,2,5
nprxc,3,4
cqaec,2,5
ppgjx,5,2
zcdsd,5,5
ioasm,5,3
qwepo,4,4
ltgmz,4,2
hiyis,4,2
bvyvm,4,3
isxwc,2,4
asxwr,2,3
myjoe,4,2
gqbvk,4,4
syiwe,3,3
lilfy,2,5
wprog,2,2
spzmn,2,2
kiadt,4,5
wdvva,2,2
bxcfq,2,2
mwfmq,2,2
mgpok,2,4
evtyi,3,2
gtjow,2,4
oenox,2,2
bwzyf,4,4
tpslg,5,5
crixb,2,2
xiglo,3,3
xmyyy,4,5
qygfk,3,4
jiqvr,3,3
mxdpo,5,2
lknjp,5,5
qhesr,2,2
fxnwf,2,3
ljpes,3,4
bravd,2,3
tucrg,3,3
ouvtt,2,2
rcxzg,4,4
bkwns,4,2
ylgug,2,3
gyomp,4,5
qpylu,2,2
eazeq,2,2
pkwrt,4,5
aepyx,4,4
ezsgk,4,3
szsyz,3,3
wjhgf,3,5
dzsef,2,3
mjgil,2,2
xkgos,4,4
willh,3,2
vmbga,5,4
zfzlc,2,2
yrsve,2,3
jynhe,2,5
olzkb,2,2
bjruf,5,2
sldwj,5,3
cwryz,4,4
tiams,2,5
ledhe,2,3
eqttu,2,2
vgaez,4,4
gqdxy,4,3
gmmwm,5,2
otmpf,2,3
sxqvt,2,2
zyffh,4,3
mvjuk,4,3
ngyrk,3,2
xtdcl,2,2
luobn,2,2
wmori,2,2
fvhrk,3,4
kklpv,5,2
gcvrb,2,2
ylzez,2,2
oxxwk,5,2
bgvvt,2,2
ocfop,2,2
oekmc,3,5
mevkw,2,3
zrlyl,2,2
vylyk,2,3
qvtia,5,2
goyli,4,5
kctgl,2,2
djngn,3,2
ywcwr,2,2
nxgad,3,2
fuzfh,2,3
gylzn,3,2
tnjoh,2,5
iqtde,4,4
cmfyw,5,5
rpkso,5,5
gpjne,2,2
bauzd,2,5
bmsyn,3,5
sosnj,2,3
ytmef,5,4
xkmqx,2,3
exymw,3,5
irvat,4,3
fxgvy,3,2
eddje,3,4
akthc,2,2
djqif,3,3
azisu,2,4
ahnss,3,4
jwggf,2,5
pccww,4,3
kkwkn,2,5
zsgto,2,5
tcwsn,3,2
paibn,4,3
udjij,4,5
femmv,2,4
jnivh,3,3
