speaker,start,end
3,0.0,19.36
6,17.82,19.96
1,18.0,19.6
4,18.42,21.46
1,19.92,40.54
4,39.0,61.3
7,59.76,76.78
1,75.24,80.5
6,78.96,80.56
2,79.02,108.28
4,89.88,92.86
6,101.4,103.0
1,106.74,115.9
4,114.36,123.1
2,117.54,119.32
1,121.56,131.74
6,130.08,131.98
5,130.32,142.78
6,141.24,151.54
4,141.48,144.1
2,143.28,144.94
2,148.5,150.94
1,150.0,156.52
6,154.98,157.18
5,155.64,160.3
4,156.72,158.74
6,158.76,160.48
1,158.94,166.78
6,165.24,172.24
1,168.78,186.82
0,169.32,171.16
6,184.92,191.56
2,185.46,188.62
1,190.02,195.82
6,194.28,196.78
8,195.24,201.28
6,199.74,214.54
1,200.76,202.84
1,213.0,215.32
8,213.78,222.46
1,220.92,227.56
6,226.02,228.22
0,226.68,245.38
1,243.84,253.18
